word	freq
2	62
scala	47
slick	42
登録	42
event	41
イベント	33
eventform	31
db	28
作成	25
1	25
model	24
eventcreate	24
val	23
実行	22
html	21
activator	21
h	20
設定	19
play	19
名	18
画面	18
form	18
driver	18
id	17
database	17
コード	16
生成	15
api	15
3	14
routes	14
ジェネレート	14
eventnm	14
eventrow	14
eventid	14
メソッド	14
tables	14
指定	14
0	14
表示	14
今回	13
バージョン	13
(/	13
アプリケーション	13
techapp	13
string	13
方法	12
型	12
create	12
e	12
column	12
app	12
events	12
スキーマ	12
機能	11
テンプレート	11
処理	11
実装	10
helper	10
action	10
._	10
for	10
generate	10
場合	10
views	10
controllers	10
url	10
利用	10
eclipse	9
オブジェクト	9
クラス	9
コマンド	9
テーブル	9
@	9
初期	9
models	9
ファイル	9
環境	9
ソース	9
text	8
c	8
main	8
情報	8
使用	8
importscala	8
接続	8
jdbc	8
)(	8
o	8
取得	8
11	8
ok	7
アプリ	7
codegen	7
bootstrap	7
ユーザ	7
data	7
開発	7
必要	7
slickdriver	7
構築	7
default	7
web	6
.{	6
int	6
引数	6
簡単	6
outputfolder	6
pkg	6
記述	6
none	6
conf	6
フォーム	6
btn	6
m	6
typesafe	6
インストール	6
ボタン	6
class	6
追加	6
ディレクトリ	5
次	5
mtable	5
type	5
null	5
of	5
controller	5
起動	5
紹介	5
not	5
定義	5
gr	5
get	5
submit	5
inputtext	5
t	5
ジェネレータ	5
準備	5
用	5
a	5
値	5
入力	5
ライブラリ	5
table	5
ケース	5
schema	5
r	5
{/	4
パッケージ	4
プラグ	4
コードジェネレータ	4
legend	4
fieldset	4
以下	4
unapply	4
to	4
アーティファクト	4
sourcecodegenerator	4
nm	4
対応	4
jdbcdriver	4
後	4
some	4
イン	4
autoinc	4
内容	4
前回	4
new	4
importplay	4
－	4
記事	4
マッピング	4
確認	4
index	4
view	4
パスワード	4
;	4
href	4
).	4
]=	4
コネクション	3
lazy	3
コンソール	3
ddl	3
tag	3
tupled	3
自動	3
application	3
カスタマイズ	3
meta	3
implicitsession	3
))}/	3
getresult	3
前	3
カラム	3
://	3
提供	3
%「	3
getdatasource	3
tcp	3
input	3
gettables	3
insert	3
varchar	3
アクセス	3
assets	3
importhelper	3
])@	3
u	3
rel	3
link	3
\	3
createmodel	3
完了	3
mapping	3
title	3
ダウンロード	3
元	3
._@	3
グループ	3
css	3
ドライバー	3
localhost	3
ブラウザ	3
demo	3
9092	3
100	3
dhttp	3
param	3
参照	3
次回	3
as	3
fordatasource	3
プロジェクト	3
))/	3
org	3
apply	3
primarykey	3
データ	3
primary	3
at	3
)@(	3
))}}「	3
パス	3
simple	3
defindex	3
the	3
出力	3
sbt	3
例	3
バージョンアップ	3
先	3
)/	3
],	3
writetofile	3
選択	3
管理	3
